1 2 3 4 5 6 7 8 9 10 

0.5 0.5 1.25 0.769231 1.07143 0.769231 1.15385 0.5 0.5 0.5 
0.5 1.5 1 0 0 0 1.07143 0.5 0.5 0.5 
0.5 0.5 0 1.42857 0 0 0 0 0.533333 0.5 
0.5 0.384615 0 0 0 0 0 0.5 0.5 0.5 
0.5 0.333333 0 0 0 0 0 1.125 0.5 0.5 
0.5 0 0 0 0 0 0 0.0666667 0.3125 0.5 
0.5 0.5 0.714286 0.357143 0 0 0 0 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.6 0.857143 0.230769 0.333333 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.384615 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.733333 0.5 0.5 

0.5 0.5 1.25 0.416667 0 0 1.15385 0.5 0.5 0.5 
0.5 1.5 0 0 0 0 1.07143 0.833333 0.5 0.5 
0.5 0 0 1.42857 0 0 0 0 0.533333 0.5 
0.5 0.142857 0 0 0 0 0 0 0.5 0.5 
0.5 0.333333 0 0 0 0 0 0 0.5 1.06667 
0.5 0 0 0 0 0 0 0.0666667 0 1.07143 
0.5 0.5 0.714286 0 0 0 0 0 0.5 0.5 
0.5 0.5 0.5 0.333333 0 0 0 0.230769 0.2 0.5 
0.5 0.5 0.5 0.5 0 0.5 0 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 1.07143 1.07143 0.454545 0.714286 0.714286 0.5 

0.5 1.13333 0.714286 0.416667 0 0 0.454545 0.5 0.5 0.5 
0.5 0.0666667 0 0 0 0 0 0 1.07143 0.5 
0.5 0 0 1.42857 0 0 0 0 0.461538 0.5 
0.5 0.142857 0 0 0 0 0 0 0.0833333 0.5 
0.5 0 0 0 0 0 0 0 0.5 0.461538 
0.5 0 0 0 0 0 0 0 0 1.07143 
0.5 0.5 0.0909091 0 0 0 0 0 0.5 0.5 
0.5 0.5 0.428571 0.333333 0 0 0 0 0 0.833333 
0.5 0.5 0.5 0.166667 0 0 0 0 0.5 1.07143 
0.5 0.5 0.5 0.5 1.07143 0.454545 0 0 0.714286 0.5 

0.5 1.13333 0.714286 0.416667 0 0 0 0.5 0.5 0.5 
1 0.0769231 0 0 0 0 0 0 0.0769231 1 
0.5 0 0 1.42857 0 0 0 0 0.461538 0.5 
0.5 0 0 0 0 0 0 0 0 0.384615 
0.5 0 0 0 0 0 0 0 0 0.461538 
0.5 0 0 0 0 0 0 0 0 0.833333 
0.5 0.0769231 0 0 0 0 0 0 0.5 0.769231 
0.5 0.5 0.166667 0.333333 0 0 0 0 0 0.833333 
0.5 0.5 0.230769 0 0 0 0 0 0.5 1.07143 
